"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
106,"bønner","word","food_drink",0,0.01,0.02,0.01,0.04,0.04,0.05,0.12,0.13,0.14,0.22,0.24,0.21,0.3,0.34,0.34,0.41,0.43,0.46,0.52,0.48
107,"melon","word","food_drink",0.01,0.01,0.02,0.02,0.05,0.05,0.17,0.2,0.23,0.25,0.31,0.36,0.32,0.41,0.53,0.59,0.63,0.7,0.67,0.76,0.7
108,"sovs","word","food_drink",0.01,0.02,0.06,0.09,0.14,0.17,0.32,0.36,0.49,0.6,0.66,0.65,0.72,0.76,0.79,0.82,0.9,0.89,0.87,0.93,0.91
109,"chips","word","food_drink",0.03,0.05,0.09,0.11,0.15,0.2,0.28,0.35,0.43,0.54,0.63,0.65,0.61,0.71,0.76,0.74,0.84,0.85,0.87,0.91,0.89
110,"mælk","word","food_drink",0.16,0.19,0.36,0.44,0.63,0.62,0.81,0.77,0.86,0.86,0.94,0.94,0.95,0.94,0.98,0.98,0.99,0.99,1,0.98,1
111,"spaghetti","word","food_drink",0.02,0.02,0.08,0.08,0.11,0.09,0.2,0.26,0.34,0.44,0.53,0.62,0.58,0.7,0.81,0.78,0.75,0.88,0.9,0.92,0.94
112,"chokolade","word","food_drink",0.05,0.06,0.14,0.19,0.31,0.33,0.51,0.58,0.7,0.74,0.87,0.88,0.9,0.91,0.96,0.95,0.99,0.98,0.95,0.97,0.98
113,"mælkesnitte","word","food_drink",0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.05,0.1,0.07,0.07,0.13,0.13,0.12,0.31,0.21,0.21,0.29,0.31
114,"spegepølse","word","food_drink",0.01,0.01,0.02,0.02,0.07,0.09,0.17,0.23,0.32,0.42,0.49,0.55,0.56,0.62,0.74,0.69,0.79,0.81,0.82,0.85,0.89
115,"cola","word","food_drink",0.02,0.09,0.19,0.2,0.31,0.37,0.46,0.45,0.63,0.7,0.79,0.78,0.81,0.85,0.92,0.88,0.92,0.93,0.94,0.95,0.94
116,"nødder","word","food_drink",0,0,0.01,0,0.01,0.03,0.06,0.08,0.1,0.2,0.27,0.23,0.28,0.42,0.35,0.43,0.57,0.68,0.57,0.67,0.71
117,"syltetøj","word","food_drink",0,0.01,0.04,0.03,0.1,0.12,0.23,0.25,0.38,0.47,0.58,0.57,0.59,0.65,0.75,0.75,0.83,0.87,0.85,0.9,0.86
118,"cornflakes","word","food_drink",0.02,0.03,0.02,0.06,0.11,0.1,0.2,0.25,0.35,0.46,0.53,0.58,0.61,0.68,0.73,0.75,0.76,0.85,0.84,0.83,0.85
119,"ost","word","food_drink",0.07,0.1,0.16,0.24,0.4,0.44,0.65,0.66,0.73,0.75,0.9,0.9,0.91,0.91,0.94,0.97,0.97,0.97,0.97,1,0.99
120,"suppe","word","food_drink",0.01,0,0.02,0.01,0.07,0.07,0.11,0.14,0.19,0.27,0.36,0.4,0.46,0.49,0.59,0.65,0.7,0.75,0.76,0.8,0.83
121,"dessert","word","food_drink",0.01,0,0.02,0.01,0.02,0.02,0.05,0.07,0.08,0.12,0.19,0.27,0.23,0.41,0.38,0.37,0.5,0.51,0.49,0.62,0.64
122,"ostehaps","word","food_drink",0.01,0.02,0.02,0.02,0.08,0.12,0.11,0.14,0.17,0.25,0.32,0.38,0.36,0.48,0.54,0.55,0.6,0.64,0.61,0.65,0.64
123,"te","word","food_drink",0.02,0.03,0.08,0.11,0.2,0.15,0.26,0.28,0.35,0.38,0.57,0.56,0.55,0.64,0.71,0.67,0.73,0.75,0.78,0.81,0.84
124,"fisk (food)","word","food_drink",0.03,0.04,0.12,0.15,0.27,0.35,0.51,0.52,0.63,0.66,0.8,0.84,0.84,0.86,0.89,0.9,0.92,0.95,0.94,0.96,0.98
125,"pandekager","word","food_drink",0.02,0,0.02,0.01,0.05,0.1,0.17,0.23,0.29,0.4,0.55,0.6,0.67,0.71,0.81,0.85,0.9,0.91,0.92,0.93,0.96
126,"tun","word","food_drink",0,0,0.01,0.01,0.02,0.02,0.07,0.09,0.13,0.19,0.2,0.24,0.2,0.28,0.34,0.39,0.42,0.51,0.39,0.56,0.49
127,"frikadeller","word","food_drink",0.02,0.03,0.06,0.08,0.16,0.18,0.32,0.35,0.5,0.58,0.7,0.7,0.74,0.78,0.9,0.86,0.94,0.93,0.94,0.94,0.96
