"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
179,"有","word","action_words",0.02,0.18,0.17,0.26,0.45,0.44,0.52,0.57,0.72,0.83,0.73,0.85,0.89,0.92,0.93
180,"用","word","action_words",0,0.02,0,0.02,0.04,0.07,0.16,0.18,0.25,0.23,0.37,0.42,0.47,0.62,0.56
181,"笑","word","action_words",0.02,0.1,0.08,0.12,0.36,0.32,0.35,0.45,0.59,0.6,0.67,0.76,0.85,0.93,0.85
182,"喊","word","action_words",0,0.15,0.15,0.14,0.4,0.51,0.41,0.57,0.72,0.78,0.78,0.87,0.91,0.93,0.93
183,"鬧","word","action_words",0.02,0.1,0.15,0.12,0.3,0.25,0.3,0.36,0.47,0.57,0.57,0.66,0.8,0.82,0.87
184,"叫/嗌","word","action_words",0,0.03,0.06,0.08,0.21,0.15,0.27,0.42,0.41,0.43,0.55,0.68,0.77,0.73,0.76
185,"講","word","action_words",0,0.02,0.06,0.02,0.15,0.12,0.17,0.34,0.46,0.49,0.58,0.69,0.74,0.87,0.76
186,"問","word","action_words",0,0,0,0.02,0.01,0.03,0.11,0.09,0.21,0.23,0.25,0.35,0.52,0.59,0.49
187,"數","word","action_words",0,0.03,0.02,0.02,0.07,0.04,0.08,0.14,0.22,0.2,0.34,0.35,0.5,0.55,0.5
188,"唱(歌)","word","action_words",0,0.07,0.06,0.09,0.25,0.29,0.3,0.45,0.54,0.58,0.6,0.76,0.77,0.86,0.79
189,"讀(書)","word","action_words",0,0.03,0.06,0.05,0.12,0.17,0.14,0.27,0.38,0.48,0.49,0.56,0.68,0.8,0.68
